2021-10-20 17:18:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141190 flow
2021-10-20 17:18:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141195 flow
2021-10-20 17:18:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141194 flow
2021-10-20 17:18:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141200 flow
2021-10-20 17:18:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141202 flow
2021-10-20 17:18:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141201 flow
2021-10-20 17:18:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141201 flow
2021-10-20 17:18:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141206 flow
2021-10-20 17:18:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141207 flow
2021-10-20 17:18:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141209 flow
2021-10-20 17:19:42 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141209 flow
2021-10-20 17:19:42 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141210 flow
2021-10-20 17:19:42 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141221 flow
2021-10-20 17:19:42 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141224 flow
2021-10-20 17:19:42 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141224 flow
2021-10-20 17:20:44 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141226 flow
